RA,ano_pesquisa,fase,fase_ideal,defasagem,turma,genero,ano_nascimento,idade,ano_ingresso,rede_ensino,pedra_atual,pedra_ano_anterior,inde,inde_ano_anterior,iaa,ieg,ips,ipp,ida,ipv,ian,n_avaliacoes,indicado_bolsa,atingiu_pv,tempo_na_associacao,categoria_defasagem
RA-22,2022,6,7,-1,A,Feminino,2005,17,2019,Privada,Ametista,Agata,7.474,,8.3,7.4,8.1,,6.7,8.833,5.0,4.0,Não,Sim,3.0,Moderada
RA-23,2022,6,7,-1,A,Masculino,2005,17,2021,Pública,Ametista,Ametista,7.677,,8.3,8.2,8.1,,6.7,8.556,5.0,4.0,Sim,Sim,1.0,Moderada
RA-24,2022,6,7,-1,A,Feminino,2005,17,2021,Privada,Topazio,Topazio,8.087,,9.2,7.9,6.9,,8.6,9.111,5.0,4.0,Não,Sim,1.0,Moderada
RA-25,2022,6,7,-1,A,Feminino,2005,17,2021,Pública,Ametista,Topazio,7.979,,8.3,8.3,8.8,,6.9,9.667,5.0,4.0,Sim,Sim,1.0,Moderada
RA-26,2022,6,7,-1,A,Masculino,2005,17,2022,Pública,Topazio,,8.677,,9.6,8.8,10.0,,8.0,10.0,5.0,4.0,Sim,Sim,0.0,Moderada
RA-27,2022,6,7,-1,A,Masculino,2005,17,2016,Privada,Ametista,Ametista,7.124,,0.0,7.6,8.1,,8.0,9.111,5.0,4.0,Não,Sim,6.0,Moderada
RA-28,2022,6,7,-1,A,Feminino,2005,17,2019,Pública,Agata,Ametista,6.242,,7.9,6.1,7.5,,5.0,6.333,5.0,4.0,Não,Não,3.0,Moderada
RA-29,2022,6,7,-1,A,Masculino,2005,17,2022,Pública,Quartzo,,4.985,,0.0,4.0,8.8,,3.7,7.611,5.0,4.0,Sim,Não,0.0,Moderada
RA-30,2022,6,6,0,A,Feminino,2006,16,2021,Pública,Ametista,Ametista,7.605,,8.8,6.4,7.5,,7.5,7.333,10.0,4.0,Não,Não,1.0,Em fase
RA-31,2022,6,7,-1,A,Feminino,2005,17,2019,Privada,Topazio,Topazio,8.843,,10.0,9.5,9.4,,8.0,10.0,5.0,4.0,Não,Sim,3.0,Moderada
RA-32,2022,6,6,0,A,Feminino,2006,16,2018,Privada,Ametista,Ametista,7.37,,8.8,5.2,8.8,,6.1,7.944,10.0,4.0,Não,Não,4.0,Em fase
RA-33,2022,6,7,-1,A,Feminino,2005,17,2020,Pública,Quartzo,Ametista,4.952,,0.0,4.6,7.5,,4.8,6.0,5.0,4.0,Não,Não,2.0,Moderada
RA-34,2022,6,7,-1,A,Masculino,2005,17,2016,Privada,Agata,Ametista,6.259,,9.6,4.8,8.1,,3.8,7.278,5.0,4.0,Não,Não,6.0,Moderada
RA-35,2022,6,7,-1,A,Feminino,2005,17,2019,Privada,Topazio,Topazio,8.965,,10.0,9.6,9.4,,8.5,10.0,5.0,4.0,Não,Sim,3.0,Moderada
RA-36,2022,6,7,-1,A,Feminino,2005,17,2019,Privada,Ametista,Ametista,7.876,,9.2,9.0,6.9,,6.8,8.944,5.0,4.0,Não,Sim,3.0,Moderada
RA-37,2022,6,7,-1,A,Feminino,2005,17,2019,Privada,Quartzo,Agata,4.95,,0.0,5.4,5.0,,5.9,5.222,5.0,4.0,Não,Não,3.0,Moderada
RA-38,2022,6,7,-1,A,Feminino,2005,17,2017,Privada,Topazio,Ametista,8.523,,9.2,8.9,7.5,,8.6,9.833,5.0,4.0,Não,Sim,5.0,Moderada
RA-39,2022,6,6,0,A,Feminino,2006,16,2017,Privada,Agata,Ametista,6.033,,0.0,4.8,6.9,,6.9,6.111,10.0,4.0,Não,Não,5.0,Em fase
RA-40,2022,5,6,-1,A,Feminino,2006,16,2016,Privada,Ametista,Agata,7.203,,7.9,7.8,7.5,,6.8,7.75,5.0,3.0,Não,Não,6.0,Moderada
RA-41,2022,5,7,-2,A,Masculino,2005,17,2018,Pública,Quartzo,Agata,5.581,,9.2,6.1,5.0,,5.6,4.375,5.0,3.0,Não,Não,4.0,Moderada
RA-42,2022,5,5,0,A,Masculino,2007,15,2019,Privada,Agata,Ametista,6.72,,8.3,7.9,5.6,,4.8,6.083,10.0,3.0,Não,Não,3.0,Em fase
RA-43,2022,5,6,-1,A,Feminino,2006,16,2019,Pública,Quartzo,Agata,5.486,,6.3,6.5,5.6,,4.3,5.958,5.0,3.0,Não,Não,3.0,Moderada
RA-44,2022,5,7,-2,A,Feminino,2005,17,2021,Pública,Quartzo,Ametista,5.542,,5.0,5.9,7.5,,3.0,7.292,5.0,3.0,Sim,Não,1.0,Moderada
RA-45,2022,5,5,0,A,Feminino,2007,15,2019,Privada,Ametista,Topazio,7.591,,7.9,8.9,5.6,,6.8,7.417,10.0,3.0,Não,Não,3.0,Em fase
RA-46,2022,5,7,-2,A,Feminino,2005,17,2022,Pública,Agata,,6.048,,8.8,8.4,6.3,,2.1,7.083,5.0,3.0,Não,Não,0.0,Moderada
RA-47,2022,5,7,-2,A,Feminino,2005,17,2022,Pública,Quartzo,,5.677,,7.9,6.3,7.5,,2.1,7.042,5.0,3.0,Não,Não,0.0,Moderada
RA-48,2022,5,5,0,A,Feminino,2007,15,2017,Privada,Ametista,Ametista,8.006,,6.7,8.4,7.5,,8.1,8.5,10.0,3.0,Não,Sim,5.0,Em fase
RA-49,2022,5,7,-2,A,Feminino,2005,17,2022,Pública,Agata,,6.304,,7.5,7.4,7.5,,3.9,7.042,5.0,3.0,Não,Não,0.0,Moderada
RA-50,2022,5,8,-3,A,Feminino,2004,18,2022,Pública,Ametista,,7.138,,7.5,8.4,7.5,,7.8,7.542,2.5,3.0,Não,Não,0.0,Severa
RA-51,2022,5,7,-2,B,Feminino,2005,17,2022,Pública,Agata,,6.488,,8.8,7.6,7.5,,5.0,6.5,5.0,3.0,Não,Não,0.0,Moderada
RA-52,2022,5,3,2,B,Masculino,2009,13,2018,Privada,Ametista,Ametista,7.861,,9.6,8.9,7.5,,6.2,7.5,10.0,3.0,Não,Não,4.0,Em fase
RA-53,2022,5,7,-2,B,Masculino,2005,17,2022,Pública,Agata,,6.725,,9.2,7.0,7.5,,7.0,6.458,5.0,3.0,Não,Não,0.0,Moderada
RA-54,2022,5,6,-1,B,Feminino,2006,16,2022,Pública,Agata,,6.058,,7.9,6.9,7.5,,4.8,6.125,5.0,3.0,Não,Não,0.0,Moderada
RA-55,2022,5,6,-1,B,Feminino,2006,16,2017,Pública,Agata,Ametista,6.576,,7.1,7.6,5.6,,7.5,6.5,5.0,3.0,Não,Não,5.0,Moderada
RA-56,2022,5,5,0,B,Feminino,2007,15,2019,Privada,Topazio,Topazio,8.404,,10.0,10.0,7.5,,7.0,8.25,10.0,3.0,Não,Não,3.0,Em fase
RA-57,2022,5,6,-1,B,Masculino,2006,16,2017,Privada,Ametista,Ametista,7.305,,7.1,8.1,5.6,,8.4,7.875,5.0,3.0,Não,Não,5.0,Moderada
RA-58,2022,5,5,0,B,Masculino,2007,15,2017,Privada,Topazio,Topazio,8.136,,9.6,9.2,6.3,,7.2,8.125,10.0,3.0,Não,Não,5.0,Em fase
RA-59,2022,5,7,-2,B,Masculino,2005,17,2022,Pública,Ametista,,7.642,,9.2,9.3,7.5,,7.2,7.917,5.0,3.0,Não,Não,0.0,Moderada
RA-60,2022,5,8,-3,B,Feminino,2004,18,2021,Pública,Quartzo,Quartzo,5.537,,6.7,6.0,7.5,,4.9,6.167,2.5,3.0,Não,Não,1.0,Severa
RA-61,2022,5,5,0,B,Masculino,2007,15,2021,Pública,Ametista,Agata,7.533,,9.2,7.4,7.5,,5.8,7.875,10.0,3.0,Sim,Não,1.0,Em fase
RA-62,2022,5,7,-2,B,Masculino,2005,17,2022,Pública,Ametista,,7.891,,8.8,9.4,7.5,,9.3,7.25,5.0,3.0,Sim,Não,0.0,Moderada
RA-63,2022,5,6,-1,B,Masculino,2006,16,2018,Privada,Topazio,Ametista,8.282,,8.3,9.1,8.8,,8.7,9.417,5.0,3.0,Não,Sim,4.0,Moderada
RA-64,2022,5,6,-1,B,Masculino,2006,16,2019,Pública,Ametista,Topazio,7.368,,7.1,8.1,8.1,,7.5,8.25,5.0,3.0,Sim,Não,3.0,Moderada
RA-65,2022,5,7,-2,B,Feminino,2005,17,2022,Pública,Ametista,,7.712,,8.3,7.7,7.5,,9.3,7.875,5.0,3.0,Sim,Não,0.0,Moderada
RA-66,2022,5,7,-2,B,Feminino,2005,17,2022,Pública,Quartzo,,5.665,,7.5,5.6,7.5,,4.5,5.917,5.0,3.0,Não,Não,0.0,Moderada
RA-67,2022,5,6,-1,C,Feminino,2006,16,2019,Pública,Quartzo,Agata,5.195,,5.8,3.0,7.5,,3.6,6.889,5.0,4.0,Não,Não,3.0,Moderada
RA-68,2022,5,6,-1,C,Masculino,2006,16,2019,Pública,Agata,Agata,6.438,,8.3,6.0,7.5,,4.0,7.944,5.0,4.0,Sim,Não,3.0,Moderada
RA-69,2022,5,6,-1,C,Masculino,2006,16,2018,Pública,Quartzo,Ametista,5.718,,8.3,6.1,7.5,,2.5,6.167,5.0,4.0,Não,Não,4.0,Moderada
RA-70,2022,5,6,-1,C,Feminino,2006,16,2017,Pública,Quartzo,Quartzo,5.712,,8.8,6.6,5.0,,2.9,6.111,5.0,4.0,Não,Não,5.0,Moderada
RA-71,2022,5,7,-2,C,Feminino,2005,17,2019,Pública,Quartzo,Ametista,4.332,,7.9,2.0,7.5,,1.2,5.833,5.0,4.0,Não,Não,3.0,Moderada
RA-72,2022,5,7,-2,C,Feminino,2005,17,2022,Pública,Ametista,,7.64,,8.3,7.5,7.5,,7.8,8.667,5.0,4.0,Sim,Sim,0.0,Moderada
RA-73,2022,5,7,-2,C,Feminino,2005,17,2022,Pública,Quartzo,,5.271,,7.1,3.0,7.5,,3.3,7.278,5.0,4.0,Sim,Não,0.0,Moderada
RA-74,2022,5,6,-1,C,Masculino,2006,16,2022,Pública,Quartzo,,4.989,,9.6,3.3,7.5,,2.0,5.833,5.0,4.0,Não,Não,0.0,Moderada
RA-75,2022,5,6,-1,F,Feminino,2006,16,2022,Pública,Quartzo,,3.915,,5.4,3.8,6.3,,0.0,4.625,5.0,4.0,Não,Não,0.0,Moderada
RA-76,2022,5,5,0,F,Feminino,2007,15,2017,Privada,Topazio,Topazio,9.105,,10.0,9.1,8.1,,8.7,9.292,10.0,4.0,Não,Sim,5.0,Em fase
RA-77,2022,5,6,-1,F,Masculino,2006,16,2019,Pública,Quartzo,Quartzo,3.846,,7.1,2.7,5.0,,0.7,4.625,5.0,4.0,Não,Não,3.0,Moderada
RA-78,2022,5,7,-2,F,Masculino,2005,17,2018,Privada,Ametista,Agata,7.04,,8.3,6.6,5.6,,7.2,8.0,5.0,4.0,Não,Não,4.0,Moderada
RA-79,2022,5,6,-1,F,Feminino,2006,16,2018,Privada,Agata,Agata,6.847,,5.4,6.3,5.6,,8.9,7.292,5.0,4.0,Não,Não,4.0,Moderada
RA-80,2022,5,6,-1,K,Feminino,2006,16,2017,Privada,Ametista,Topazio,7.29,,9.2,8.3,5.0,,7.1,7.625,5.0,4.0,Não,Não,5.0,Moderada
RA-81,2022,5,4,1,K,Feminino,2008,14,2017,Privada,Ametista,Topazio,7.675,,9.2,9.2,5.0,,6.0,7.458,10.0,4.0,Não,Não,5.0,Em fase
RA-82,2022,5,7,-2,K,Feminino,2005,17,2022,Pública,Agata,,6.596,,8.8,6.8,7.5,,5.5,6.417,5.0,4.0,Sim,Não,0.0,Moderada
RA-83,2022,5,7,-2,K,Feminino,2005,17,2022,Pública,Agata,,6.671,,7.9,6.8,7.5,,6.8,5.958,5.0,4.0,Sim,Não,0.0,Moderada
RA-84,2022,5,7,-2,K,Feminino,2005,17,2018,Privada,Agata,Ametista,6.682,,7.1,8.8,5.0,,5.8,6.75,5.0,4.0,Não,Não,4.0,Moderada
RA-85,2022,5,5,0,K,Masculino,2007,15,2022,Pública,Agata,,6.243,,6.7,7.3,5.0,,4.3,5.833,10.0,4.0,Não,Não,0.0,Em fase
RA-86,2022,5,6,-1,K,Masculino,2006,16,2016,Privada,Ametista,Ametista,7.566,,7.5,9.6,5.6,,6.7,8.458,5.0,4.0,Não,Sim,6.0,Moderada
RA-87,2022,5,5,0,K,Masculino,2007,15,2021,Privada,Topazio,Ametista,8.712,,8.3,9.6,7.5,,8.8,8.5,10.0,4.0,Não,Sim,1.0,Em fase
RA-88,2022,5,7,-2,K,Masculino,2005,17,2021,Pública,Ametista,Ametista,7.498,,7.1,9.2,5.6,,6.5,9.208,5.0,4.0,Sim,Sim,1.0,Moderada
RA-89,2022,5,6,-1,K,Masculino,2006,16,2021,Pública,Ametista,Quartzo,7.323,,9.6,7.8,7.5,,5.9,8.0,5.0,4.0,Sim,Não,1.0,Moderada
RA-90,2022,5,3,2,L,Feminino,2009,13,2019,Privada,Topazio,Topazio,9.442,,10.0,9.7,9.4,,8.5,9.75,10.0,4.0,Não,Sim,3.0,Em fase
RA-91,2022,5,6,-1,L,Feminino,2006,16,2016,Privada,Agata,Ametista,6.645,,9.2,5.7,5.6,,6.6,7.125,5.0,4.0,Não,Não,6.0,Moderada
RA-92,2022,5,6,-1,L,Feminino,2006,16,2016,Privada,Agata,Ametista,6.957,,9.2,7.1,5.0,,7.4,6.667,5.0,4.0,Não,Não,6.0,Moderada
RA-93,2022,5,5,0,L,Feminino,2007,15,2016,Privada,Topazio,Topazio,8.941,,8.3,9.7,8.1,,8.5,9.083,10.0,4.0,Não,Sim,6.0,Em fase
RA-94,2022,5,5,0,L,Feminino,2007,15,2018,Privada,Topazio,Topazio,8.921,,8.3,9.6,8.1,,7.7,9.583,10.0,4.0,Não,Sim,4.0,Em fase
RA-95,2022,5,7,-2,L,Feminino,2005,17,2022,Pública,Agata,,6.308,,8.3,6.6,7.5,,4.8,6.292,5.0,4.0,Não,Não,0.0,Moderada
RA-96,2022,5,6,-1,L,Masculino,2006,16,2021,Pública,Ametista,Ametista,7.54,,9.2,7.8,6.9,,6.7,8.5,5.0,4.0,Sim,Sim,1.0,Moderada
RA-97,2022,5,5,0,L,Feminino,2007,15,2017,Privada,Ametista,Agata,7.468,,7.5,8.8,5.0,,6.9,6.292,10.0,4.0,Não,Não,5.0,Em fase
RA-98,2022,5,5,0,L,Feminino,2007,15,2017,Privada,Topazio,Topazio,9.354,,8.8,10.0,9.4,,8.5,9.667,10.0,4.0,Não,Sim,5.0,Em fase
RA-99,2022,5,6,-1,L,Masculino,2006,16,2019,Pública,Agata,Agata,6.158,,8.8,6.3,7.5,,5.0,5.833,5.0,4.0,Não,Não,3.0,Moderada
RA-100,2022,4,3,1,A,Feminino,2009,13,2019,Privada,Ametista,Topazio,7.618,,8.8,7.8,5.0,,7.6,7.25,10.0,4.0,Não,Não,3.0,Em fase
RA-101,2022,4,5,-1,A,Feminino,2007,15,2021,Pública,Ametista,Ametista,7.305,,7.9,8.3,7.5,,7.6,6.833,5.0,4.0,Sim,Não,1.0,Moderada
RA-102,2022,4,4,0,A,Masculino,2008,14,2019,Pública,Agata,Ametista,6.922,,6.7,7.7,6.9,,5.7,6.0,10.0,4.0,Não,Não,3.0,Em fase
RA-103,2022,4,3,1,A,Feminino,2009,13,2020,Privada,Topazio,Ametista,8.107,,7.9,8.7,7.5,,7.3,7.708,10.0,4.0,Não,Não,2.0,Em fase
RA-104,2022,4,8,-4,A,Masculino,2004,18,2022,Pública,Agata,,6.315,,7.9,8.7,7.5,,3.7,6.708,2.5,4.0,Não,Não,0.0,Severa
RA-105,2022,4,7,-3,A,Masculino,2005,17,2016,Privada,Agata,Ametista,6.846,,7.9,8.2,5.6,,6.7,7.417,2.5,4.0,Não,Não,6.0,Severa
RA-106,2022,4,5,-1,A,Feminino,2007,15,2016,Privada,Ametista,Ametista,7.973,,9.2,8.0,9.4,,7.4,8.375,5.0,4.0,Não,Sim,6.0,Moderada
RA-107,2022,4,5,-1,A,Feminino,2007,15,2018,Pública,Agata,Agata,6.258,,7.5,6.4,7.5,,4.6,6.5,5.0,4.0,Sim,Não,4.0,Moderada
RA-108,2022,4,7,-3,A,Feminino,2005,17,2019,Pública,Quartzo,Agata,5.547,,4.6,7.7,5.0,,5.0,6.125,2.5,4.0,Não,Não,3.0,Severa
RA-109,2022,4,6,-2,A,Masculino,2006,16,2021,Privada,Topazio,Ametista,8.512,,8.8,10.0,8.8,,8.4,8.667,5.0,4.0,Não,Sim,1.0,Moderada
RA-110,2022,4,4,0,A,Masculino,2008,14,2017,Privada,Topazio,Topazio,8.15,,9.2,9.7,5.6,,6.7,8.0,10.0,4.0,Não,Não,5.0,Em fase
RA-111,2022,4,3,1,A,Feminino,2009,13,2020,Privada,Topazio,Topazio,8.646,,7.5,9.4,8.1,,8.0,8.667,10.0,4.0,Não,Sim,2.0,Em fase
RA-112,2022,4,5,-1,A,Feminino,2007,15,2016,Privada,Ametista,Ametista,7.836,,7.9,7.8,6.3,,8.5,8.833,5.0,4.0,Não,Sim,6.0,Moderada
RA-113,2022,4,5,-1,A,Feminino,2007,15,2017,Privada,Quartzo,Agata,3.032,,0.0,0.0,5.0,,3.7,3.792,5.0,4.0,Não,Não,5.0,Moderada
RA-114,2022,4,6,-2,A,Masculino,2006,16,2022,Pública,Quartzo,,5.894,,7.9,6.3,7.5,,5.3,5.0,5.0,4.0,Não,Não,0.0,Moderada
RA-115,2022,4,6,-2,A,Feminino,2006,16,2019,Pública,Quartzo,Ametista,5.886,,8.3,6.8,6.3,,3.8,5.583,5.0,4.0,Não,Não,3.0,Moderada
RA-116,2022,4,6,-2,B,Feminino,2006,16,2019,Pública,Agata,Agata,6.854,,5.8,8.1,6.3,,5.9,7.792,5.0,4.0,Sim,Não,3.0,Moderada
RA-117,2022,4,5,-1,B,Feminino,2007,15,2022,Pública,Agata,,6.685,,7.9,6.3,6.9,,6.1,7.417,5.0,4.0,Não,Não,0.0,Moderada
RA-118,2022,4,4,0,B,Feminino,2008,14,2021,Pública,Quartzo,Ametista,5.597,,0.0,5.3,6.3,,3.9,6.958,10.0,4.0,Não,Não,1.0,Em fase
RA-119,2022,4,4,0,B,Feminino,2008,14,2016,Privada,Ametista,Agata,7.501,,8.3,8.2,5.6,,5.4,7.875,10.0,4.0,Não,Não,6.0,Em fase
RA-120,2022,4,5,-1,B,Masculino,2007,15,2019,Pública,Agata,Ametista,6.825,,8.3,5.9,7.5,,6.2,7.667,5.0,4.0,Sim,Não,3.0,Moderada
RA-121,2022,4,6,-2,B,Feminino,2006,16,2021,Pública,Ametista,Agata,7.245,,7.1,8.4,6.3,,7.2,7.625,5.0,4.0,Sim,Não,1.0,Moderada
RA-122,2022,4,4,0,B,Feminino,2008,14,2019,Pública,Quartzo,Quartzo,5.061,,7.9,3.4,7.5,,1.8,4.958,10.0,4.0,Não,Não,3.0,Em fase
RA-123,2022,4,6,-2,B,Masculino,2006,16,2017,Privada,Ametista,Ametista,7.084,,7.9,8.6,5.6,,6.5,7.292,5.0,4.0,Não,Não,5.0,Moderada
RA-124,2022,4,4,0,B,Masculino,2008,14,2016,Privada,Ametista,Ametista,7.388,,7.9,7.8,5.0,,6.7,7.167,10.0,4.0,Não,Não,6.0,Em fase
RA-125,2022,4,5,-1,B,Feminino,2007,15,2022,Pública,Ametista,,7.619,,8.8,8.5,7.5,,7.1,7.75,5.0,4.0,Sim,Não,0.0,Moderada
RA-126,2022,4,5,-1,B,Masculino,2007,15,2018,Pública,Agata,Ametista,6.289,,7.1,5.8,7.5,,4.4,7.417,5.0,4.0,Sim,Não,4.0,Moderada
RA-127,2022,4,4,0,B,Feminino,2008,14,2022,Pública,Topazio,,8.283,,7.5,8.7,7.5,,7.9,8.125,10.0,4.0,Sim,Não,0.0,Em fase
RA-128,2022,4,5,-1,B,Masculino,2007,15,2019,Pública,Quartzo,Agata,5.563,,0.0,6.2,7.5,,5.6,6.167,5.0,4.0,Sim,Não,3.0,Moderada
RA-129,2022,4,5,-1,B,Masculino,2007,15,2019,Pública,Agata,Ametista,6.926,,6.7,6.4,7.5,,6.7,7.792,5.0,4.0,Sim,Não,3.0,Moderada
RA-130,2022,4,6,-2,F,Feminino,2006,16,2018,Pública,Quartzo,Agata,5.624,,8.3,4.7,5.0,,4.1,6.5,5.0,4.0,Não,Não,4.0,Moderada
RA-131,2022,4,5,-1,F,Feminino,2007,15,2016,Pública,Ametista,Ametista,7.174,,8.8,9.0,5.6,,5.6,7.75,5.0,4.0,Sim,Não,6.0,Moderada
RA-132,2022,4,4,0,F,Feminino,2008,14,2019,Privada,Topazio,Ametista,8.355,,10.0,8.8,5.6,,7.7,8.458,10.0,4.0,Não,Sim,3.0,Em fase
RA-133,2022,4,5,-1,F,Feminino,2007,15,2016,Pública,Agata,Quartzo,6.875,,7.9,7.1,7.5,,5.6,7.625,5.0,4.0,Não,Não,6.0,Moderada
RA-134,2022,4,5,-1,F,Feminino,2007,15,2021,Pública,Agata,Agata,6.607,,8.8,6.8,7.5,,4.7,7.375,5.0,4.0,Sim,Não,1.0,Moderada
RA-135,2022,4,5,-1,F,Feminino,2007,15,2019,Pública,Ametista,Ametista,7.692,,8.3,7.8,5.6,,8.6,8.583,5.0,4.0,Sim,Sim,3.0,Moderada
RA-136,2022,4,5,-1,F,Masculino,2007,15,2019,Pública,Agata,Agata,6.478,,10.0,6.3,7.5,,4.6,6.667,5.0,4.0,Não,Não,3.0,Moderada
RA-137,2022,4,7,-3,F,Feminino,2005,17,2016,Privada,Ametista,Agata,7.056,,7.5,8.9,5.0,,7.3,7.792,2.5,4.0,Não,Não,6.0,Severa
RA-138,2022,4,5,-1,F,Masculino,2007,15,2016,Pública,Agata,Agata,6.738,,9.6,8.0,5.6,,5.6,6.375,5.0,4.0,Sim,Não,6.0,Moderada
RA-139,2022,4,7,-3,F,Masculino,2005,17,2019,Pública,Quartzo,Agata,3.738,,7.1,3.5,5.0,,1.4,3.917,2.5,4.0,Não,Não,3.0,Severa
RA-140,2022,4,4,0,F,Feminino,2008,14,2021,Pública,Ametista,Ametista,7.407,,7.9,7.6,6.9,,5.7,7.667,10.0,4.0,Sim,Não,1.0,Em fase
RA-141,2022,4,4,0,F,Masculino,2008,14,2017,Pública,Ametista,Agata,7.118,,9.2,8.2,5.6,,5.7,5.917,10.0,4.0,Não,Não,5.0,Em fase
RA-142,2022,4,4,0,F,Feminino,2008,14,2021,Pública,Ametista,Agata,7.457,,6.7,8.6,5.6,,6.3,7.583,10.0,4.0,Não,Não,1.0,Em fase
RA-143,2022,4,3,1,F,Masculino,2009,13,2019,Privada,Topazio,Topazio,8.638,,8.3,9.9,5.6,,7.9,9.5,10.0,4.0,Não,Sim,3.0,Em fase
RA-144,2022,4,4,0,F,Feminino,2008,14,2017,Privada,Topazio,Quartzo,8.181,,7.5,9.3,5.0,,7.9,8.292,10.0,4.0,Não,Não,5.0,Em fase
RA-145,2022,4,6,-2,H,Masculino,2006,16,2017,Pública,Quartzo,Agata,5.846,,0.0,6.3,8.1,,5.2,7.25,5.0,4.0,Sim,Não,5.0,Moderada
RA-146,2022,4,5,-1,H,Feminino,2007,15,2022,Pública,Ametista,,7.947,,8.3,9.2,7.5,,7.9,8.208,5.0,4.0,Sim,Não,0.0,Moderada
RA-147,2022,4,4,0,H,Feminino,2008,14,2022,Pública,Ametista,,7.541,,8.3,7.7,7.5,,6.1,7.25,10.0,4.0,Não,Não,0.0,Em fase
RA-148,2022,4,4,0,H,Masculino,2008,14,2022,Pública,Ametista,,7.894,,9.2,7.9,10.0,,5.3,7.708,10.0,4.0,Sim,Não,0.0,Em fase
